row	Type	Sex	Speaker	Vowel	IPA	F0	F1	F2	F3
49	m	m	3	V	\vt	100	600	1200	2320
50	m	m	3	V	\vt	105	612	1160	2350
51	m	m	3	a	\aes	91	640	1080	2140
52	m	m	3	a	\aes	94	720	1090	2230
53	m	m	3	o	\ct	92	550	870	2300
54	m	m	3	o	\ct	120	540	840	2280
55	m	m	3	U	\hs	114	460	1150	2290
56	m	m	3	U	\hs	114	456	1030	2300
57	m	m	3	u	u	112	340	950	2240
58	m	m	3	u	u	112	326	900	2190
59	m	m	3	R	\er\hr	100	500	1370	1780
60	m	m	3	R	\er\hr	106	530	1330	1800
61	m	m	4	i	i	150	300	2240	3400
62	m	m	4	i	i	156	280	2450	3200
63	m	m	4	I	\ic	156	450	1960	2400
64	m	m	4	I	\ic	146	440	2050	2360
65	m	m	4	E	\ef	130	570	1780	2410
66	m	m	4	E	\ef	150	555	1890	2440
67	m	m	4	A	\ae	125	750	1610	2340
68	m	m	4	A	\ae	136	770	1580	2350
69	m	m	4	V	\vt	132	660	1200	2330
70	m	m	4	V	\vt	150	675	1140	2380
71	m	m	4	a	\aes	125	750	1100	2550
72	m	m	4	a	\aes	138	800	1120	2500
73	m	m	4	o	\ct	143	540	850	2320
74	m	m	4	o	\ct	150	555	890	2370
75	m	m	4	U	\hs	136	460	960	2210
76	m	m	4	U	\hs	156	460	1000	2350
77	m	m	4	u	u	140	380	950	2050
78	m	m	4	u	u	148	385	850	2330
79	m	m	4	R	\er\hr	150	590	1400	1840
80	m	m	4	R	\er\hr	145	555	1430	1730
81	m	m	5	i	i	140	310	2310	2820
82	m	m	5	i	i	131	260	2250	2850
83	m	m	5	I	\ic	137	440	2060	2640
84	m	m	5	I	\ic	134	430	1880	2450
85	m	m	5	E	\ef	140	580	1910	2500
86	m	m	5	E	\ef	137	550	1770	2400
87	m	m	5	A	\ae	143	830	1720	2180
88	m	m	5	A	\ae	135	750	1690	2320
89	m	m	5	V	\vt	136	630	1300	1950
90	m	m	5	V	\vt	130	650	1170	2000
91	m	m	5	a	\aes	131	760	1220	2140
92	m	m	5	a	\aes	126	720	1260	2020
93	m	m	5	o	\ct	136	540	970	1980
94	m	m	5	o	\ct	124	550	880	1950
95	m	m	5	U	\hs	133	470	1040	1990
96	m	m	5	U	\hs	132	490	990	1920
97	m	m	5	u	u	141	380	950	2140
98	m	m	5	u	u	133	330	800	2130
99	m	m	5	R	\er\hr	143	560	1510	1800
100	m	m	5	R	\er\hr	136	510	1460	1700
101	m	m	6	i	i	125	312	2350	2800
102	m	m	6	i	i	119	330	2430	2870
103	m	m	6	I	\ic	133	420	2000	2660
104	m	m	6	I	\ic	125	313	2000	2750
105	m	m	6	E	\ef	120	600	1860	2500
106	m	m	6	E	\ef	114	570	1830	2570
107	m	m	6	A	\ae	119	676	1670	2540
108	m	m	6	A	\ae	125	725	1687	2500
109	m	m	6	V	\vt	118	680	1150	2560
110	m	m	6	V	\vt	125	726	1270	2560
111	m	m	6	a	\aes	125	740	1100	2680
112	m	m	6	a	\aes	113	670	960	2650
113	m	m	6	o	\ct	120	660	1030	2690
114	m	m	6	o	\ct	125	720	960	2700
115	m	m	6	U	\hs	120	456	1080	2520
116	m	m	6	U	\hs	120	450	1140	2600
117	m	m	6	u	u	125	313	838	2340
118	m	m	6	u	u	125	288	938	2450
119	m	m	6	R	\er\hr	120	503	1305	1775
120	m	m	6	R	\er\hr	120	505	1320	1750
121	m	m	7	i	i	186	320	2320	3120
122	m	m	7	i	i	172	310	2280	3020
123	m	m	7	I	\ic	167	470	2000	2660
124	m	m	7	I	\ic	170	410	2040	2715
125	m	m	7	E	\ef	167	630	1900	2860
126	m	m	7	E	\ef	146	614	1840	2770
127	m	m	7	A	\ae	143	740	1800	2450
128	m	m	7	A	\ae	162	775	1810	2200
129	m	m	7	V	\vt	167	620	1240	2410
130	m	m	7	V	\vt	160	640	1250	2400
131	m	m	7	a	\aes	162	650	970	2580
132	m	m	7	a	\aes	163	650	980	2350
133	m	m	7	o	\ct	145	430	720	2450
134	m	m	7	o	\ct	171	510	800	2500
135	m	m	7	U	\hs	170	460	1120	2150
136	m	m	7	U	\hs	170	493	1120	2300
137	m	m	7	u	u	175	380	1040	2260
138	m	m	7	u	u	200	400	1000	2350
139	m	m	7	R	\er\hr	167	570	1300	1750
140	m	m	7	R	\er\hr	157	565	1370	1710
141	m	m	8	i	i	105	230	2480	3200
142	m	m	8	i	i	109	218	2380	3100
143	m	m	8	I	\ic	110	320	2200	2680
144	m	m	8	I	\ic	103	206	2130	2570
145	m	m	8	E	\ef	107	430	2100	2630
146	m	m	8	E	\ef	105	515	1760	2470
147	m	m	8	A	\ae	107	514	2060	2600
148	m	m	8	A	\ae	106	552	1820	2500
149	m	m	8	V	\vt	108	640	1300	2300
150	m	m	8	V	\vt	104	624	1350	2410
151	m	m	8	a	\aes	111	714	1170	2420
152	m	m	8	a	\aes	97	650	1150	2350
153	m	m	8	o	\ct	107	590	965	2500
154	m	m	8	o	\ct	109	578	970	2460
155	m	m	8	U	\hs	111	467	1110	2400
156	m	m	8	U	\hs	105	475	1220	2310
157	m	m	8	u	u	107	270	910	2200
158	m	m	8	u	u	108	260	975	2320
159	m	m	8	R	\er\hr	107	460	1400	1790
160	m	m	8	R	\er\hr	103	425	1410	1760
161	m	m	9	i	i	175	316	2200	2800
162	m	m	9	i	i	175	280	2275	2775
163	m	m	9	I	\ic	167	450	1820	2475
164	m	m	9	I	\ic	167	434	1850	2425
165	m	m	9	E	\ef	157	582	1725	2375
166	m	m	9	E	\ef	158	586	1800	2425
167	m	m	9	A	\ae	150	600	1750	2375
168	m	m	9	A	\ae	145	582	1775	2375
169	m	m	9	V	\vt	145	626	1125	2200
170	m	m	9	V	\vt	160	641	1120	2225
171	m	m	9	a	\aes	144	708	1054	2420
172	m	m	9	a	\aes	150	705	1050	2375
173	m	m	9	o	\ct	146	614	848	2200
174	m	m	9	o	\ct	143	600	860	2175
175	m	m	9	U	\hs	167	500	1000	2325
176	m	m	9	U	\hs	167	500	1000	2325
177	m	m	9	u	u	167	334	1150	2200
178	m	m	9	u	u	183	312	1020	2300
179	m	m	9	R	\er\hr	157	518	1305	1570
180	m	m	9	R	\er\hr	157	504	1210	1510
181	m	m	10	i	i	129	260	2260	2820
182	m	m	10	i	i	125	250	2200	2825
183	m	m	10	I	\ic	146	400	2040	2500
184	m	m	10	I	\ic	144	389	2000	2425
185	m	m	10	E	\ef	126	500	1870	2500
186	m	m	10	E	\ef	125	500	1775	2450
187	m	m	10	A	\ae	110	660	1650	2500
188	m	m	10	A	\ae	120	624	1700	2475
189	m	m	10	V	\vt	122	650	1220	2550
190	m	m	10	V	\vt	120	672	1260	2500
191	m	m	10	a	\aes	114	750	1080	2680
192	m	m	10	a	\aes	114	777	1026	2625
193	m	m	10	o	\ct	115	580	800	2650
194	m	m	10	o	\ct	117	585	819	2625
195	m	m	10	U	\hs	140	480	950	2500
196	m	m	10	U	\hs	127	461	993	2350
197	m	m	10	u	u	140	280	950	2300
198	m	m	10	u	u	133	266	920	2300
199	m	m	10	R	\er\hr	128	500	1340	1700
200	m	m	10	R	\er\hr	133	532	1275	1600
201	m	m	11	i	i	146	248	2225	3100
202	m	m	11	i	i	140	238	2175	3075
203	m	m	11	I	\ic	150	405	1925	2550
204	m	m	11	I	\ic	138	416	1940	2600
205	m	m	11	E	\ef	147	588	1790	2500
206	m	m	11	E	\ef	133	586	1725	2650
207	m	m	11	A	\ae	145	725	1700	2425
208	m	m	11	A	\ae	127	710	1650	2220
209	m	m	11	V	\vt	136	586	1078	2300
210	m	m	11	V	\vt	136	627	1038	2360
211	m	m	11	a	\aes	145	725	1046	2325
212	m	m	11	a	\aes	131	746	1018	2300
213	m	m	11	o	\ct	140	560	840	2500
214	m	m	11	o	\ct	140	560	924	2350
215	m	m	11	U	\hs	150	495	1080	2275
216	m	m	11	U	\hs	143	430	1030	2275
217	m	m	11	u	u	162	290	760	2300
218	m	m	11	u	u	157	315	850	2025
219	m	m	11	R	\er\hr	150	511	1561	1876
220	m	m	11	R	\er\hr	138	530	1450	1887
221	m	m	12	i	i	110	220	2410	3000
222	m	m	12	i	i	125	240	2440	3280
223	m	m	12	I	\ic	120	450	1880	2450
224	m	m	12	I	\ic	118	380	1930	2420
225	m	m	12	E	\ef	115	560	1650	2300
226	m	m	12	E	\ef	123	560	1720	2300
227	m	m	12	A	\ae	110	680	1720	2330
228	m	m	12	A	\ae	133	630	1680	2280
229	m	m	12	V	\vt	110	560	1430	2250
230	m	m	12	V	\vt	120	560	1390	2240
231	m	m	12	a	\aes	108	800	1330	2260
232	m	m	12	a	\aes	110	740	1240	2280
233	m	m	12	o	\ct	120	600	920	2080
234	m	m	12	o	\ct	133	580	910	2000
235	m	m	12	U	\hs	130	400	1200	2210
236	m	m	12	U	\hs	110	420	1230	2230
237	m	m	12	u	u	122	300	900	2130
238	m	m	12	u	u	123	260	1010	2240
239	m	m	12	R	\er\hr	125	400	1450	1650
240	m	m	12	R	\er\hr	128	360	1410	1640
241	m	m	13	i	i	142	290	2290	2600
242	m	m	13	i	i	135	260	2290	2700
243	m	m	13	I	\ic	132	390	1950	2550
244	m	m	13	I	\ic	135	400	1900	2450
245	m	m	13	E	\ef	124	490	1740	2500
246	m	m	13	E	\ef	125	500	1780	2430
247	m	m	13	A	\ae	125	660	1630	2500
248	m	m	13	A	\ae	132	670	1630	2380
249	m	m	13	V	\vt	140	600	1220	2530
250	m	m	13	V	\vt	125	600	1210	2430
251	m	m	13	a	\aes	125	680	1120	2630
252	m	m	13	a	\aes	128	670	1100	2700
253	m	m	13	o	\ct	127	510	720	2450
254	m	m	13	o	\ct	120	480	710	2540
255	m	m	13	U	\hs	133	380	910	2350
256	m	m	13	U	\hs	140	440	1030	2400
257	m	m	13	u	u	127	350	720	2750
258	m	m	13	u	u	140	380	740	2880
259	m	m	13	R	\er\hr	128	430	1370	1610
260	m	m	13	R	\er\hr	135	440	1360	1600
261	m	m	14	i	i	114	228	2350	2860
262	m	m	14	i	i	118	220	2350	2920
263	m	m	14	I	\ic	110	407	2070	2500
264	m	m	14	I	\ic	112	420	1900	2450
265	m	m	14	E	\ef	106	445	2020	2420
266	m	m	14	E	\ef	115	470	2020	2500
267	m	m	14	A	\ae	103	721	1680	2400
268	m	m	14	A	\ae	109	750	1710	2440
269	m	m	14	V	\vt	104	552	1122	2500
270	m	m	14	V	\vt	115	580	1150	2600
271	m	m	14	a	\aes	98	686	1078	2570
272	m	m	14	a	\aes	103	700	1050	2680
273	m	m	14	o	\ct	102	560	665	2620
274	m	m	14	o	\ct	106	550	650	2700
275	m	m	14	U	\hs	112	448	980	2370
276	m	m	14	U	\hs	104	410	940	2370
277	m	m	14	u	u	116	232	696	2200
278	m	m	14	u	u	117	222	665	2080
279	m	m	14	R	\er\hr	120	432	1300	1400
280	m	m	14	R	\er\hr	111	420	1300	1570
281	m	m	15	i	i	121	230	2100	2850
282	m	m	15	i	i	118	240	2000	2980
283	m	m	15	I	\ic	130	365	1900	2340
284	m	m	15	I	\ic	119	300	2040	2560
285	m	m	15	E	\ef	112	440	1980	2310
286	m	m	15	E	\ef	120	410	2050	2500
287	m	m	15	A	\ae	133	620	1710	2110
288	m	m	15	A	\ae	124	660	1800	2150
289	m	m	15	V	\vt	120	660	1000	2380
290	m	m	15	V	\vt	110	660	960	2450
291	m	m	15	a	\aes	122	600	830	2250
292	m	m	15	a	\aes	119	620	820	2400
293	m	m	15	o	\ct	117	500	620	2250
294	m	m	15	o	\ct	106	550	700	2550
295	m	m	15	U	\hs	140	390	730	2180
296	m	m	15	U	\hs	130	360	740	2200
297	m	m	15	u	u	131	260	720	2100
298	m	m	15	u	u	132	260	740	2040
299	m	m	15	R	\er\hr	125	450	1230	1600
300	m	m	15	R	\er\hr	127	460	1300	1650
301	m	m	16	i	i	150	300	2355	3250
302	m	m	16	i	i	150	300	2460	3280
303	m	m	16	I	\ic	160	385	2242	2805
304	m	m	16	I	\ic	150	407	2250	2780
305	m	m	16	E	\ef	140	504	2090	2720
306	m	m	16	E	\ef	146	543	1980	2640
307	m	m	16	A	\ae	133	680	1958	2542
308	m	m	16	A	\ae	141	708	1840	2535
309	m	m	16	V	\vt	150	675	1320	2550
310	m	m	16	V	\vt	150	704	1393	2550
311	m	m	16	a	\aes	137	825	1168	2750
312	m	m	16	a	\aes	135	840	1210	2680
313	m	m	16	o	\ct	143	671	1000	2670
314	m	m	16	o	\ct	147	690	968	2660
315	m	m	16	U	\hs	143	443	1273	2430
316	m	m	16	U	\hs	153	459	1286	2410
317	m	m	16	u	u	146	395	1300	2160
318	m	m	16	u	u	153	400	1320	2150
319	m	m	16	R	\er\hr	140	532	1500	1890
320	m	m	16	R	\er\hr	146	538	1460	1818
321	m	m	17	i	i	120	264	2290	2700
322	m	m	17	i	i	128	256	2305	2635
323	m	m	17	I	\ic	112	380	1880	2440
324	m	m	17	I	\ic	115	346	1930	2390
325	m	m	17	E	\ef	100	510	1780	2300
326	m	m	17	E	\ef	108	520	1730	2275
327	m	m	17	A	\ae	100	630	1770	2350
328	m	m	17	A	\ae	105	630	1642	2170
329	m	m	17	V	\vt	103	601	1273	2130
330	m	m	17	V	\vt	105	590	1283	2150
331	m	m	17	a	\aes	100	750	1150	2440
332	m	m	17	a	\aes	95	703	1092	2320
333	m	m	17	o	\ct	97	565	780	2350
334	m	m	17	o	\ct	106	584	849	2460
335	m	m	17	U	\hs	105	420	1100	2140
336	m	m	17	U	\hs	111	422	1200	2175
337	m	m	17	u	u	117	315	1080	2260
338	m	m	17	u	u	125	326	1125	2210
339	m	m	17	R	\er\hr	111	444	1300	1625
340	m	m	17	R	\er\hr	109	469	1288	1600
341	m	m	18	i	i	124	210	2100	3090
342	m	m	18	i	i	130	220	2080	3180
343	m	m	18	I	\ic	128	280	2000	2710
344	m	m	18	I	\ic	130	310	1950	2670
345	m	m	18	E	\ef	121	470	1910	2580
346	m	m	18	E	\ef	129	490	1930	2650
347	m	m	18	A	\ae	116	640	1620	2200
348	m	m	18	A	\ae	118	650	1580	2360
349	m	m	18	V	\vt	121	610	1100	2230
350	m	m	18	V	\vt	126	620	1120	2330
351	m	m	18	a	\aes	118	700	1100	2240
352	m	m	18	a	\aes	120	670	1100	2220
353	m	m	18	o	\ct	122	460	720	2180
354	m	m	18	o	\ct	118	470	690	2200
355	m	m	18	U	\hs	129	320	770	1860
356	m	m	18	U	\hs	130	310	790	1920
357	m	m	18	u	u	140	210	670	1900
358	m	m	18	u	u	148	240	730	1850
359	m	m	18	R	\er\hr	128	390	1320	1550
360	m	m	18	R	\er\hr	124	420	1240	1510
361	m	m	19	i	i	129	190	2650	3280
362	m	m	19	i	i	135	190	2700	3170
363	m	m	19	I	\ic	132	370	1750	2700
364	m	m	19	I	\ic	130	370	1800	2750
365	m	m	19	E	\ef	122	370	1680	2560
366	m	m	19	E	\ef	125	375	1700	2500
367	m	m	19	A	\ae	121	550	1570	2600
368	m	m	19	A	\ae	120	530	1610	2650
369	m	m	19	V	\vt	118	570	1050	2500
370	m	m	19	V	\vt	125	590	1100	2480
371	m	m	19	a	\aes	112	640	970	2870
372	m	m	19	a	\aes	122	670	980	2900
373	m	m	19	o	\ct	113	560	860	2900
374	m	m	19	o	\ct	121	570	820	2820
375	m	m	19	U	\hs	125	350	1000	2500
376	m	m	19	U	\hs	130	380	920	2370
377	m	m	19	u	u	130	250	1000	2100
378	m	m	19	u	u	140	210	960	1940
379	m	m	19	R	\er\hr	130	360	1300	1920
380	m	m	19	R	\er\hr	133	370	1300	1760
381	m	m	20	i	i	127	250	2180	2660
382	m	m	20	i	i	131	260	2210	2780
383	m	m	20	I	\ic	121	400	1900	2440
384	m	m	20	I	\ic	122	350	1980	2480
385	m	m	20	E	\ef	116	560	1670	2310
386	m	m	20	E	\ef	124	530	1700	2380
387	m	m	20	A	\ae	120	680	1470	2280
388	m	m	20	A	\ae	119	620	1580	2320
389	m	m	20	V	\vt	120	620	1100	2390
390	m	m	20	V	\vt	125	640	1110	2370
391	m	m	20	a	\aes	115	630	980	2330
392	m	m	20	a	\aes	121	670	940	2380
393	m	m	20	o	\ct	112	560	790	2480
394	m	m	20	o	\ct	120	610	840	2420
395	m	m	20	U	\hs	121	360	860	2200
396	m	m	20	U	\hs	120	400	840	2200
397	m	m	20	u	u	140	280	670	2140
398	m	m	20	u	u	126	250	720	2190
399	m	m	20	R	\er\hr	120	480	1410	1760
400	m	m	20	R	\er\hr	121	470	1330	1700
401	m	m	21	i	i	155	280	2400	2910
402	m	m	21	i	i	150	300	2320	2960
403	m	m	21	I	\ic	142	410	2060	2680
404	m	m	21	I	\ic	150	450	2050	2670
405	m	m	21	E	\ef	135	540	1900	2530
406	m	m	21	E	\ef	135	540	1920	2520
407	m	m	21	A	\ae	138	620	1800	2440
408	m	m	21	A	\ae	140	690	1820	2480
409	m	m	21	V	\vt	150	630	1200	2600
410	m	m	21	V	\vt	140	680	1290	2600
411	m	m	21	a	\aes	145	740	1110	2500
412	m	m	21	a	\aes	143	700	1060	2720
413	m	m	21	o	\ct	146	600	970	2570
414	m	m	21	o	\ct	138	650	880	2660
415	m	m	21	U	\hs	142	430	1130	2440
416	m	m	21	U	\hs	143	430	1150	2420
417	m	m	21	u	u	142	280	990	2330
418	m	m	21	u	u	145	290	1000	2300
419	m	m	21	R	\er\hr	150	420	1350	1600
420	m	m	21	R	\er\hr	150	450	1350	1600
421	m	m	22	i	i	135	300	2300	2800
422	m	m	22	i	i	135	350	2240	2760
423	m	m	22	I	\ic	136	410	2200	2680
424	m	m	22	I	\ic	138	440	2080	2520
425	m	m	22	E	\ef	133	580	1870	2320
426	m	m	22	E	\ef	127	520	1900	2400
427	m	m	22	A	\ae	130	760	1920	2480
428	m	m	22	A	\ae	132	670	1850	2560
429	m	m	22	V	\vt	139	810	1110	2100
430	m	m	22	V	\vt	131	770	1150	2100
431	m	m	22	a	\aes	141	700	1040	2120
432	m	m	22	a	\aes	125	750	1160	2080
433	m	m	22	o	\ct	133	670	920	2240
434	m	m	22	o	\ct	142	570	850	2250
435	m	m	22	U	\hs	140	550	970	2200
436	m	m	22	U	\hs	141	490	870	2240
437	m	m	22	u	u	150	300	600	2300
438	m	m	22	u	u	148	230	570	2100
439	m	m	22	R	\er\hr	140	560	1520	2100
440	m	m	22	R	\er\hr	140	540	1570	2050
441	m	m	23	i	i	125	240	2100	2900
442	m	m	23	i	i	119	240	2150	2860
443	m	m	23	I	\ic	130	380	1870	2450
444	m	m	23	I	\ic	120	430	1710	2350
445	m	m	23	E	\ef	119	580	1770	2500
446	m	m	23	E	\ef	117	570	1750	2400
447	m	m	23	A	\ae	115	760	1580	2440
448	m	m	23	A	\ae	110	715	1500	2300
449	m	m	23	V	\vt	124	620	880	2500
450	m	m	23	V	\vt	124	650	1000	2520
451	m	m	23	a	\aes	119	710	950	2520
452	m	m	23	a	\aes	120	690	960	2520
453	m	m	23	o	\ct	125	460	610	2500
454	m	m	23	o	\ct	120	470	710	2500
455	m	m	23	U	\hs	125	390	900	2100
456	m	m	23	U	\hs	125	460	920	2140
457	m	m	23	u	u	125	250	690	2080
458	m	m	23	u	u	130	270	650	2050
459	m	m	23	R	\er\hr	122	540	1280	1720
460	m	m	23	R	\er\hr	118	510	1280	1650
461	m	m	24	i	i	148	280	2450	2700
462	m	m	24	i	i	160	288	2500	2880
463	m	m	24	I	\ic	160	400	2080	2530
464	m	m	24	I	\ic	153	384	2110	2500
465	m	m	24	E	\ef	138	590	1900	2200
466	m	m	24	E	\ef	153	583	1840	2250
467	m	m	24	A	\ae	145	680	1850	2400
468	m	m	24	A	\ae	140	685	1780	2160
469	m	m	24	V	\vt	143	660	1370	2110
470	m	m	24	V	\vt	145	680	1300	2100
471	m	m	24	a	\aes	140	760	1260	2120
472	m	m	24	a	\aes	135	770	1140	2020
473	m	m	24	o	\ct	145	500	800	1850
474	m	m	24	o	\ct	132	600	1000	2000
475	m	m	24	U	\hs	157	380	1060	1950
476	m	m	24	U	\hs	150	470	1220	2150
477	m	m	24	u	u	162	324	800	2220
478	m	m	24	u	u	139	290	800	2150
479	m	m	24	R	\er\hr	150	560	1350	1780
480	m	m	24	R	\er\hr	150	600	1470	1820
481	m	m	25	i	i	110	250	2190	3000
482	m	m	25	i	i	106	254	2085	2890
483	m	m	25	I	\ic	111	330	1967	2670
484	m	m	25	I	\ic	108	430	1940	2590
485	m	m	25	E	\ef	116	464	2100	2700
486	m	m	25	E	\ef	105	504	1995	2780
487	m	m	25	A	\ae	94	595	1900	2700
488	m	m	25	A	\ae	100	670	1860	2500
489	m	m	25	V	\vt	96	620	1200	2420
490	m	m	25	V	\vt	105	630	1127	2420
491	m	m	25	a	\aes	100	750	1160	2360
492	m	m	25	a	\aes	96	740	1155	2330
493	m	m	25	o	\ct	101	460	740	2300
494	m	m	25	o	\ct	105	494	789	2420
495	m	m	25	U	\hs	113	400	1020	2200
496	m	m	25	U	\hs	128	450	1028	2160
497	m	m	25	u	u	140	392	1000	2120
498	m	m	25	u	u	116	350	898	2140
499	m	m	25	R	\er\hr	117	547	1340	1688
500	m	m	25	R	\er\hr	128	512	1280	1570
501	m	m	26	i	i	123	246	2185	2730
502	m	m	26	i	i	133	267	2280	2800
503	m	m	26	I	\ic	140	420	2300	2800
504	m	m	26	I	\ic	120	384	2110	2620
505	m	m	26	E	\ef	120	480	1920	2540
506	m	m	26	E	\ef	112	551	1788	2450
507	m	m	26	A	\ae	114	628	1837	2570
508	m	m	26	A	\ae	111	622	1890	2560
509	m	m	26	V	\vt	114	628	1254	2470
510	m	m	26	V	\vt	114	617	1255	2480
511	m	m	26	a	\aes	117	690	1072	2660
512	m	m	26	a	\aes	103	630	1000	2530
513	m	m	26	o	\ct	117	510	700	2650
514	m	m	26	o	\ct	120	504	756	2540
515	m	m	26	U	\hs	122	465	990	2440
516	m	m	26	U	\hs	125	462	976	2450
517	m	m	26	u	u	120	324	708	2440
518	m	m	26	u	u	157	387	786	2518
519	m	m	26	R	\er\hr	122	488	1468	1712
520	m	m	26	R	\er\hr	118	472	1465	1725
521	m	m	27	i	i	138	275	2060	2800
522	m	m	27	i	i	136	270	2020	2790
523	m	m	27	I	\ic	133	349	2030	2760
524	m	m	27	I	\ic	136	340	1940	2560
525	m	m	27	E	\ef	120	444	1800	2500
526	m	m	27	E	\ef	127	380	1800	2440
527	m	m	27	A	\ae	125	688	1600	2300
528	m	m	27	A	\ae	122	660	1570	2380
529	m	m	27	V	\vt	128	565	1157	2310
530	m	m	27	V	\vt	130	550	1150	2250
531	m	m	27	a	\aes	125	712	1024	2250
532	m	m	27	a	\aes	125	670	1080	2300
533	m	m	27	o	\ct	125	550	913	2360
534	m	m	27	o	\ct	126	550	890	2280
535	m	m	27	U	\hs	128	360	1028	2160
536	m	m	27	U	\hs	140	390	1060	2150
537	m	m	27	u	u	133	294	930	2050
538	m	m	27	u	u	140	280	1000	2160
539	m	m	27	R	\er\hr	125	440	1250	1625
540	m	m	27	R	\er\hr	130	480	1160	1520
541	m	m	28	i	i	125	320	2160	2900
542	m	m	28	i	i	133	267	2230	3000
543	m	m	28	I	\ic	115	440	1750	2400
544	m	m	28	I	\ic	116	390	1780	2450
545	m	m	28	E	\ef	117	525	1800	2480
546	m	m	28	E	\ef	110	520	1750	2390
547	m	m	28	A	\ae	111	660	1600	2400
548	m	m	28	A	\ae	120	720	1680	2430
549	m	m	28	V	\vt	117	600	1250	2300
550	m	m	28	V	\vt	125	575	1170	2240
551	m	m	28	a	\aes	111	730	1160	2340
552	m	m	28	a	\aes	117	860	1280	2470
553	m	m	28	o	\ct	114	560	810	2290
554	m	m	28	o	\ct	116	584	840	2280
555	m	m	28	U	\hs	130	455	970	2140
556	m	m	28	U	\hs	120	456	1040	2038
557	m	m	28	u	u	125	350	820	2130
558	m	m	28	u	u	128	366	772	2058
559	m	m	28	R	\er\hr	111	450	1420	1870
560	m	m	28	R	\er\hr	118	472	1430	1840
561	m	m	29	i	i	133	333	2305	3200
562	m	m	29	i	i	131	326	2260	3030
563	m	m	29	I	\ic	125	375	2188	2750
564	m	m	29	I	\ic	133	400	2150	2680
565	m	m	29	E	\ef	125	500	1980	2480
566	m	m	29	E	\ef	150	480	1950	2340
567	m	m	29	A	\ae	116	640	1710	2450
568	m	m	29	A	\ae	123	615	1720	2220
569	m	m	29	V	\vt	116	583	1110	2360
570	m	m	29	V	\vt	117	608	1120	2700
571	m	m	29	a	\aes	111	777	1170	2600
572	m	m	29	a	\aes	114	750	1175	2820
573	m	m	29	o	\ct	105	630	891	2519
574	m	m	29	o	\ct	114	572	924	2660
575	m	m	29	U	\hs	125	438	975	2300
576	m	m	29	U	\hs	140	420	938	2300
577	m	m	29	u	u	133	333	800	2130
578	m	m	29	u	u	140	320	840	2150
579	m	m	29	R	\er\hr	120	480	1320	1870
580	m	m	29	R	\er\hr	127	483	1335	1844
581	m	m	30	i	i	166	267	2300	2940
582	m	m	30	i	i	156	220	2300	2900
583	m	m	30	I	\ic	154	431	2040	2460
584	m	m	30	I	\ic	155	360	2010	2400
585	m	m	30	E	\ef	150	565	1950	2500
586	m	m	30	E	\ef	180	540	2000	2450
587	m	m	30	A	\ae	143	600	2000	2570
588	m	m	30	A	\ae	138	590	1950	2460
589	m	m	30	V	\vt	157	630	1140	2200
590	m	m	30	V	\vt	186	630	1170	2280
591	m	m	30	a	\aes	146	730	1048	2450
